Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,1296.349976,1303.699951,1289.349976,1302.300049,1302.300049,74794
2019-12-24,1302.000000,1302.000000,1287.000000,1289.300049,1289.300049,115983
2019-12-26,1297.400024,1297.400024,1265.099976,1271.550049,1271.550049,106498
2019-12-27,1278.000000,1279.000000,1270.000000,1274.900024,1274.900024,83333
2019-12-30,1280.000000,1288.500000,1274.800049,1280.849976,1280.849976,713086
2019-12-31,1286.800049,1286.800049,1269.000000,1271.800049,1271.800049,45369
2020-01-01,1275.000000,1280.400024,1271.000000,1279.050049,1279.050049,44876
2020-01-02,1278.000000,1287.900024,1277.500000,1286.650024,1286.650024,41084
2020-01-03,1289.000000,1289.000000,1263.000000,1268.099976,1268.099976,1100857
2020-01-06,1265.800049,1265.800049,1236.000000,1241.150024,1241.150024,574250
2020-01-07,1258.300049,1271.750000,1252.199951,1260.849976,1260.849976,594878
2020-01-08,1250.000000,1261.300049,1240.000000,1257.050049,1257.050049,2299367
2020-01-09,1263.000000,1275.800049,1263.000000,1270.800049,1270.800049,143800
2020-01-10,1283.000000,1286.900024,1275.400024,1283.199951,1283.199951,147090
2020-01-13,1285.000000,1296.599976,1277.300049,1287.250000,1287.250000,4046429
2020-01-14,1293.500000,1293.500000,1278.000000,1289.449951,1289.449951,4766929
2020-01-15,1289.449951,1289.449951,1274.050049,1284.050049,1284.050049,178511
2020-01-16,1283.000000,1291.199951,1279.400024,1287.599976,1287.599976,339085
2020-01-17,1285.000000,1285.000000,1271.949951,1277.849976,1277.849976,185105
2020-01-20,1302.750000,1303.800049,1252.800049,1254.900024,1254.900024,259242
2020-01-21,1255.000000,1255.000000,1239.000000,1244.150024,1244.150024,177060
2020-01-22,1249.000000,1255.449951,1235.000000,1240.349976,1240.349976,489687
2020-01-23,1242.000000,1246.650024,1231.849976,1245.000000,1245.000000,130687
2020-01-24,1247.699951,1254.000000,1239.500000,1244.150024,1244.150024,346362
2020-01-27,1237.000000,1237.949951,1211.500000,1212.900024,1212.900024,437154
2020-01-28,1225.900024,1227.449951,1213.250000,1222.849976,1222.849976,162574
2020-01-29,1227.000000,1242.000000,1222.849976,1235.949951,1235.949951,446105
2020-01-30,1236.000000,1239.349976,1217.449951,1227.099976,1227.099976,261904
2020-01-31,1234.900024,1237.800049,1220.550049,1225.699951,1225.699951,102936
2020-02-03,1199.099976,1199.099976,1178.000000,1193.000000,1193.000000,206699
2020-02-04,1210.000000,1233.699951,1199.000000,1229.250000,1229.250000,211614
2020-02-05,1235.000000,1248.000000,1227.400024,1244.199951,1244.199951,237226
2020-02-06,1248.000000,1248.300049,1237.449951,1239.849976,1239.849976,191275
2020-02-07,1242.150024,1246.699951,1232.000000,1241.900024,1241.900024,106272
2020-02-10,1246.699951,1246.699951,1226.000000,1240.199951,1240.199951,873512
2020-02-11,1240.099976,1255.300049,1238.599976,1240.050049,1240.050049,102899
2020-02-12,1244.000000,1252.800049,1244.000000,1249.050049,1249.050049,77888
2020-02-13,1263.800049,1263.800049,1233.400024,1241.199951,1241.199951,1851986
2020-02-14,1243.199951,1249.000000,1215.000000,1219.250000,1219.250000,229943
2020-02-17,1225.800049,1232.800049,1214.050049,1216.800049,1216.800049,108348
2020-02-18,1215.000000,1218.000000,1204.000000,1213.550049,1213.550049,102598
2020-02-19,1216.000000,1229.699951,1214.099976,1226.099976,1226.099976,92646
2020-02-20,1228.000000,1228.949951,1214.349976,1217.300049,1217.300049,115183
2020-02-24,1214.000000,1214.000000,1200.300049,1210.000000,1210.000000,473035
2020-02-25,1210.000000,1210.000000,1198.000000,1200.250000,1200.250000,119546
2020-02-26,1200.000000,1204.199951,1186.000000,1199.650024,1199.650024,467136
2020-02-27,1200.000000,1202.500000,1181.000000,1199.349976,1199.349976,933802
2020-02-28,1179.800049,1184.849976,1170.099976,1177.599976,1177.599976,298612
2020-03-02,1195.000000,1200.050049,1167.000000,1182.150024,1182.150024,478321
2020-03-03,1180.000000,1185.699951,1168.150024,1181.300049,1181.300049,600004
2020-03-04,1179.000000,1179.949951,1133.300049,1148.949951,1148.949951,421145
2020-03-05,1154.000000,1164.449951,1145.000000,1151.650024,1151.650024,1468666
2020-03-06,1130.000000,1141.300049,1101.500000,1134.849976,1134.849976,517037
2020-03-09,1134.849976,1134.849976,1134.849976,1134.849976,1134.849976,0
2020-03-11,1110.000000,1120.000000,1093.050049,1112.750000,1112.750000,4093148
